site,severity,duration,start,end
9432000,198.0,24,1989-09-13,1989-10-06
9432000,1802.0,140,1989-10-27,1990-03-27
9432000,106.0,15,1990-04-12,1990-04-26
9432000,912.0,80,1990-05-13,1990-08-04
9432000,120.0,20,1990-09-01,1990-09-23
9432000,250.0,32,1994-08-02,1994-09-02
9432000,365.0,29,1994-09-19,1994-10-17
9432000,16.0,9,1995-09-08,1995-09-18
9432000,1095.0,116,1995-10-06,1996-02-01
9432000,2832.0,171,1996-03-02,1996-08-23
9432000,23.0,5,1996-09-08,1996-09-12
9432000,62.0,15,1996-10-04,1996-10-20
9432000,20.0,6,1997-01-18,1997-01-23
9432000,313.0,31,1997-08-21,1997-09-20
9432000,936.0,105,1999-01-23,1999-05-20
9432000,115.0,17,1999-07-04,1999-07-20
9432000,1543.0,117,1999-11-28,2000-03-26
9432000,236.0,79,2000-04-10,2000-06-28
9432000,2172.0,99,2000-07-06,2000-10-12
9432000,7.0,6,2001-08-09,2001-08-14
9432000,87.0,15,2001-09-02,2001-09-16
9432000,6217.0,331,2001-09-24,2002-09-03
9432000,25.0,14,2002-10-26,2002-11-12
9432000,24.0,6,2002-11-27,2002-12-03
9432000,6.0,5,2003-02-09,2003-02-14
9432000,2685.0,139,2003-06-25,2003-11-13
9432000,17.0,6,2003-12-10,2003-12-15
9432000,33.0,8,2003-12-22,2003-12-29
9432000,317.0,32,2004-01-24,2004-02-24
9432000,26.0,5,2004-08-03,2004-08-07
9432000,31.0,6,2004-08-14,2004-08-19
9432000,647.0,57,2004-08-25,2004-10-24
9432000,3397.0,213,2005-12-05,2006-07-08
9432000,72.0,5,2006-07-17,2006-07-21
9432000,38.0,15,2007-11-11,2007-11-25
9432000,4.0,5,2008-03-13,2008-03-19
9432000,154.0,24,2009-02-18,2009-03-13
9432000,736.0,106,2009-03-20,2009-07-03
9432000,428.0,42,2009-07-15,2009-08-25
9432000,1780.0,116,2009-10-01,2010-01-28
9432000,10.0,10,2010-12-16,2010-12-27
9432000,73.0,22,2010-12-30,2011-01-20
9432000,1958.0,189,2011-02-04,2011-08-15
9432000,8.0,7,2011-09-29,2011-10-05
9432000,40.0,14,2011-10-21,2011-11-03
9432000,3449.0,194,2012-07-18,2013-01-27
9432000,184.0,25,2013-02-15,2013-03-15
9432000,1576.0,100,2013-03-31,2013-07-17
9432000,32.0,10,2014-02-20,2014-03-02
9432000,244.0,40,2014-03-13,2014-04-21
9432000,8.0,7,2014-06-30,2014-07-06
9432000,26.0,9,2016-03-27,2016-04-06
9432000,11.0,8,2016-07-26,2016-08-04
9432000,63.0,13,2016-08-23,2016-09-07
9432000,17.0,6,2016-09-24,2016-09-29
9432000,52.0,21,2016-11-15,2016-12-07
9432000,5464.0,371,2017-10-10,2018-10-29
9432000,1804.0,106,2018-11-01,2019-02-19
9432000,9.0,5,2019-03-28,2019-04-01
9432000,26.0,9,2019-04-08,2019-04-18
9432000,122.0,17,2019-04-27,2019-05-13
9432000,3888.0,193,2019-05-21,2019-11-29
9432000,13.0,8,2020-01-30,2020-02-08
9432000,46.0,16,2020-07-06,2020-07-26
9432000,8635.0,358,2020-08-04,2021-08-01
9432000,40.0,14,2021-09-15,2021-09-28
9432000,4686.0,243,2021-10-18,2022-06-24
9432000,16.0,5,2022-07-21,2022-07-25
9371000,188.0,40,1989-05-16,1989-06-24
9371000,25.0,17,1989-10-03,1989-10-21
9371000,1311.0,124,1989-12-17,1990-04-19
9371000,140.0,11,1991-05-01,1991-05-11
9371000,58.0,22,1991-08-17,1991-09-09
9371000,120.0,34,1991-10-27,1991-12-03
9371000,49.0,24,1994-08-24,1994-09-18
9371000,4369.0,273,1996-01-09,1996-10-08
9371000,342.0,44,1998-09-18,1998-11-01
9371000,342.0,41,1999-03-22,1999-05-01
9371000,531.0,113,1999-11-29,2000-03-23
9371000,2751.0,291,2000-05-19,2001-03-13
9371000,137.0,21,2001-07-27,2001-08-16
9371000,10476.0,570,2001-09-21,2003-05-16
9371000,440.0,42,2003-07-28,2003-09-08
9371000,8.0,7,2004-02-02,2004-02-09
9371000,10.0,7,2004-03-13,2004-03-19
9371000,362.0,42,2006-03-03,2006-04-13
9371000,10.0,11,2006-04-23,2006-05-03
9371000,1437.0,137,2006-05-09,2006-09-22
9371000,19.0,6,2007-03-11,2007-03-16
9371000,313.0,51,2007-04-14,2007-06-05
9371000,401.0,48,2007-06-25,2007-08-12
9371000,363.0,50,2007-10-22,2007-12-16
9371000,360.0,69,2008-11-01,2009-01-11
9371000,99.0,18,2009-04-17,2009-05-04
9371000,1616.0,143,2009-09-10,2010-02-06
9371000,64.0,7,2011-05-04,2011-05-10
9371000,188.0,50,2011-08-25,2011-10-19
9371000,37.0,10,2012-02-26,2012-03-09
9371000,339.0,47,2012-03-11,2012-04-26
9371000,7129.0,364,2012-05-04,2013-06-03
9371000,225.0,51,2013-06-06,2013-07-26
9371000,51.0,13,2014-04-07,2014-04-22
9371000,690.0,109,2014-05-02,2014-08-25
9371000,4.0,6,2015-05-12,2015-05-19
9371000,10591.0,510,2017-10-19,2019-03-21
9371000,47.0,14,2019-03-27,2019-04-09
9371000,16788.0,867,2019-08-13,2022-04-06
9371000,815.0,77,2022-05-17,2022-08-01
9046600,172.0,22,1984-04-22,1984-05-14
9046600,908.0,117,1985-07-03,1985-10-28
9046600,4992.0,344,1987-06-02,1988-05-13
9046600,44.0,14,1988-05-26,1988-06-08
9046600,4779.0,238,1988-08-23,1989-04-17
9046600,6547.0,376,1989-09-11,1990-10-18
9046600,4.0,6,1991-06-07,1991-06-12
9046600,1681.0,178,1991-10-29,1992-04-24
9046600,382.0,95,1992-06-05,1992-09-13
9046600,97.0,23,1993-10-15,1993-11-07
9046600,46.0,16,1994-04-17,1994-05-04
9046600,2936.0,280,1994-06-03,1995-03-10
9046600,764.0,64,1998-06-08,1998-08-10
9046600,197.0,46,2000-06-17,2000-08-03
9046600,16.0,12,2000-08-10,2000-08-24
9046600,563.0,90,2001-06-13,2001-09-15
9046600,447.0,163,2001-10-27,2002-04-07
9046600,7712.0,362,2002-05-16,2003-05-13
9046600,18.0,25,2004-02-29,2004-03-28
9046600,2026.0,142,2004-05-29,2004-10-19
9046600,35.0,11,2005-06-10,2005-06-20
9046600,635.0,91,2005-07-29,2005-10-28
9046600,447.0,28,2008-04-29,2008-05-28
9046600,273.0,23,2011-05-05,2011-05-27
9046600,4854.0,362,2012-05-27,2013-05-24
9046600,1021.0,72,2016-03-24,2016-06-03
9046600,1707.0,175,2016-11-06,2017-05-03
9046600,119.0,22,2017-05-16,2017-06-06
9046600,9386.0,408,2018-04-17,2019-06-02
9046600,3833.0,220,2019-10-23,2020-05-30
9046600,5014.0,266,2020-09-15,2021-06-07
9046600,1022.0,83,2022-04-08,2022-07-02
9408000,52.0,15,1989-03-06,1989-03-25
9408000,9817.0,706,1989-03-30,1991-03-13
9408000,8.0,11,1991-11-04,1991-11-14
9408000,4.0,5,1991-11-21,1991-11-25
9408000,328.0,61,1991-12-09,1992-02-09
9408000,724.0,93,1994-01-17,1994-04-25
9408000,5345.0,319,1996-03-05,1997-01-19
9408000,4.0,5,1997-06-15,1997-06-19
9408000,105.0,84,1997-06-26,1997-09-28
9408000,274.0,48,2000-01-13,2000-03-04
9408000,9.0,12,2000-09-21,2000-10-02
9408000,61.0,30,2000-10-14,2000-11-13
9408000,7.0,10,2001-11-05,2001-11-14
9408000,16257.0,857,2001-11-21,2004-04-01
9408000,6.0,8,2004-09-25,2004-10-02
9408000,4.0,5,2006-11-21,2006-11-25
9408000,8716.0,472,2006-12-19,2008-04-10
9408000,82.0,106,2008-04-25,2008-08-12
9408000,10.0,13,2008-08-21,2008-09-02
9408000,1259.0,150,2008-09-11,2009-02-12
9408000,4.0,5,2009-08-09,2009-08-13
9408000,2855.0,196,2009-08-22,2010-03-08
9408000,36.0,6,2010-03-11,2010-03-18
9408000,2619.0,262,2012-02-28,2012-11-24
9408000,1530.0,165,2013-03-30,2013-09-10
9408000,4.0,5,2014-08-09,2014-08-13
9408000,3767.0,332,2018-02-28,2019-02-02
9408000,16545.0,762,2020-10-25,2022-11-25
9416000,5.0,7,1989-12-10,1989-12-17
9416000,12598.0,776,1989-12-20,1992-02-09
9416000,13105.0,738,2002-02-17,2004-03-02
9416000,83.0,7,2004-03-27,2004-04-02
9416000,3644.0,193,2004-04-14,2004-10-27
9416000,72.0,29,2007-02-27,2007-03-27
9416000,89.0,48,2007-10-23,2007-12-09
9416000,100.0,29,2007-12-15,2008-01-12
9416000,2570.0,334,2008-03-16,2009-02-16
9416000,3272.0,306,2009-03-18,2010-01-19
9416000,201.0,78,2010-05-21,2010-08-10
9416000,40.0,54,2010-08-13,2010-10-06
9416000,10.0,13,2010-10-10,2010-10-22
9416000,138.0,52,2010-10-29,2010-12-19
9416000,41.0,14,2013-01-13,2013-01-27
9416000,687.0,115,2013-02-02,2013-07-03
9416000,1509.0,205,2014-01-07,2014-08-12
9416000,384.0,84,2015-01-20,2015-04-14
9416000,18.0,14,2018-03-04,2018-03-17
9416000,3501.0,222,2018-07-20,2019-03-02
9416000,6601.0,343,2019-04-04,2020-03-13
9416000,14625.0,699,2021-01-30,2023-01-11
9512500,13.0,5,1989-07-14,1989-07-18
9512500,312.0,47,1989-11-30,1990-01-21
9512500,331.0,24,1990-01-26,1990-02-21
9512500,216.0,18,1990-02-25,1990-03-15
9512500,48.0,6,1990-03-24,1990-03-29
9512500,119.0,12,1990-04-08,1990-04-23
9512500,759.0,67,1990-04-28,1990-07-06
9512500,305.0,31,1990-07-26,1990-08-29
9512500,47.0,8,1990-09-07,1990-09-14
9512500,20.0,8,1990-12-27,1991-01-07
9512500,405.0,48,1991-01-09,1991-02-27
9512500,22.0,10,1996-03-06,1996-03-18
9512500,18.0,8,1996-06-29,1996-07-08
9512500,100.0,10,1996-07-19,1996-07-31
9512500,382.0,32,1996-08-04,1996-09-09
9512500,1717.0,114,1996-09-17,1997-01-17
9512500,860.0,38,1997-01-20,1997-03-02
9512500,684.0,28,1997-03-05,1997-04-01
9512500,2791.0,135,1997-04-11,1997-09-03
9512500,1793.0,91,1997-09-18,1997-12-26
9512500,219.0,17,1998-01-15,1998-02-02
9512500,22.0,13,1999-02-28,1999-03-14
9512500,43.0,9,1999-07-18,1999-07-29
9512500,19.0,6,1999-08-26,1999-09-04
9512500,9.0,5,1999-09-06,1999-09-11
9512500,12.0,5,2000-01-04,2000-01-10
9512500,479.0,37,2000-01-27,2000-03-05
9512500,60.0,6,2000-03-18,2000-03-25
9512500,55.0,9,2000-04-02,2000-04-12
9512500,59.0,41,2000-04-18,2000-05-30
9512500,47.0,8,2000-06-10,2000-06-17
9512500,363.0,33,2000-07-02,2000-08-06
9512500,75.0,6,2000-08-10,2000-08-17
9512500,375.0,46,2000-09-02,2000-10-21
9512500,9.0,5,2000-11-08,2000-11-14
9512500,4955.0,218,2002-01-27,2002-09-06
9512500,4253.0,157,2002-09-13,2003-02-25
9512500,1318.0,128,2003-03-07,2003-07-22
9512500,298.0,28,2003-08-04,2003-09-09
9512500,3024.0,194,2003-09-12,2004-04-05
9512500,2125.0,98,2004-04-09,2004-07-16
9512500,399.0,18,2004-07-19,2004-08-11
9512500,1523.0,68,2004-08-14,2004-10-27
9512500,319.0,16,2004-11-01,2004-11-20
9512500,131.0,23,2006-07-12,2006-08-12
9512500,141.0,16,2006-08-18,2006-09-06
9512500,6497.0,300,2006-09-12,2007-07-21
9512500,4185.0,165,2007-08-06,2008-02-03
9512500,525.0,94,2008-03-22,2008-07-02
9512500,272.0,19,2008-07-15,2008-08-07
9512500,265.0,23,2008-08-12,2008-09-10
9512500,1872.0,120,2008-09-13,2009-01-29
9512500,129.0,12,2009-02-01,2009-02-17
9512500,393.0,27,2009-03-15,2009-04-10
9512500,473.0,73,2009-04-16,2009-07-01
9512500,2738.0,148,2009-07-07,2009-12-12
9512500,802.0,35,2009-12-16,2010-01-19
9512500,31.0,6,2011-07-14,2011-07-22
9512500,24.0,10,2011-11-22,2011-12-01
9512500,31.0,6,2011-12-07,2011-12-12
9512500,2772.0,217,2011-12-26,2012-08-20
9512500,202.0,13,2012-08-25,2012-09-10
9512500,1559.0,91,2012-09-13,2012-12-13
9512500,624.0,31,2012-12-26,2013-01-25
9512500,20.0,7,2013-03-15,2013-03-22
9512500,80.0,19,2013-03-30,2013-04-17
9512500,133.0,19,2013-07-30,2013-08-23
9512500,113.0,28,2016-02-22,2016-03-23
9512500,10.0,7,2016-04-01,2016-04-08
9512500,152.0,15,2016-07-05,2016-07-22
9512500,64.0,8,2016-07-25,2016-08-01
9512500,79.0,8,2016-08-13,2016-08-21
9512500,57.0,11,2016-09-05,2016-09-19
9512500,6.0,5,2016-11-11,2016-11-17
9512500,69.0,24,2016-11-25,2016-12-21
9512500,1716.0,138,2018-02-18,2018-07-12
9512500,292.0,16,2018-07-23,2018-08-14
9512500,659.0,34,2018-08-28,2018-10-06
