USGS_ID,Lat,Lon,region,D_5,D_10,D_20,D_50,D_100,S_5,S_10,S_20,S_50,S_100
9508300,34.160868,-111.692924,9-Southwest,90.0,147.0,212.0,309.0,390.0,2462.0,4423.0,6833.0,10648.0,13984.0
9505200,34.674744,-111.672094,9-Southwest,,,,,,,,,,
9511300,33.558656,-111.669304,9-Southwest,67.0,103.0,142.0,195.0,237.0,1313.0,2163.0,3136.0,4588.0,5801.0
9510000,33.808375,-111.663473,9-Southwest,63.0,102.0,146.0,214.0,271.0,760.0,1191.0,1666.0,2349.0,2907.0
9329050,38.627752,-111.647965,8-Rocky Mountains,,,,,,,,,,
9507980,34.276421,-111.638756,9-Southwest,73.0,116.0,161.0,223.0,271.0,2566.0,4386.0,6375.0,9168.0,11372.0
9337000,37.862487,-111.636011,11-California and interior west,314.0,635.0,1077.0,1854.0,2596.0,3638.0,6277.0,9169.0,13244.0,16447.0
9382000,36.87221,-111.594605,11-California and interior west,32.0,47.0,64.0,86.0,103.0,479.0,692.0,912.0,1210.0,1442.0
9502000,33.552823,-111.576524,9-Southwest,,,,,,,,,,
9337500,37.778044,-111.574618,11-California and interior west,41.0,65.0,91.0,127.0,155.0,760.0,1308.0,1960.0,2970.0,3837.0
9510200,33.694211,-111.541802,9-Southwest,206.0,382.0,605.0,972.0,1300.0,3153.0,5111.0,7196.0,10070.0,12318.0
9330000,38.306925,-111.518792,8-Rocky Mountains,48.0,76.0,106.0,148.0,181.0,789.0,1280.0,1835.0,2652.0,3328.0
9486800,31.838972,-111.404269,9-Southwest,,,,,,,,,,
9487000,32.075634,-111.338716,9-Southwest,,,,,,,,,,
9499000,33.980041,-111.303466,9-Southwest,61.0,93.0,127.0,173.0,209.0,2106.0,3543.0,5101.0,7283.0,8997.0
9330500,38.991056,-111.253886,8-Rocky Mountains,45.0,69.0,95.0,129.0,157.0,1053.0,1611.0,2190.0,2976.0,3581.0
9326500,39.104137,-111.216559,8-Rocky Mountains,107.0,171.0,244.0,352.0,441.0,1007.0,1697.0,2504.0,3729.0,4767.0
9310500,39.774406,-111.191006,11-California and interior west,46.0,69.0,94.0,127.0,153.0,1450.0,2313.0,3272.0,4668.0,5811.0
9310700,39.721629,-111.161283,11-California and interior west,,,,,,,,,,
9486350,32.336185,-111.042043,9-Southwest,,,,,,,,,,
9486055,32.303408,-111.012041,9-Southwest,,,,,,,,,,
9498501,33.418665,-111.009561,9-Southwest,,,,,,,,,,
9498502,33.48783,-110.995394,9-Southwest,,,,,,,,,,
9498500,33.619495,-110.921504,9-Southwest,78.0,116.0,154.0,206.0,246.0,1927.0,3009.0,4144.0,5695.0,6894.0
9485700,32.271464,-110.914535,9-Southwest,,,,,,,,,,
9498400,33.573107,-110.901225,9-Southwest,129.0,221.0,321.0,462.0,573.0,9398.0,19606.0,33878.0,59261.0,83690.0
9497980,33.827826,-110.856227,9-Southwest,82.0,128.0,179.0,253.0,313.0,2663.0,4954.0,7855.0,12582.0,16825.0
9484500,32.265353,-110.841199,9-Southwest,,,,,,,,,,
9484000,32.314722,-110.810917,9-Southwest,,,,,,,,,,
9397500,34.63642,-110.714296,9-Southwest,,,,,,,,,,
9484600,32.035914,-110.677582,9-Southwest,,,,,,,,,,
9473000,32.844233,-110.6301,9-Southwest,,,,,,,,,,
9485000,32.129523,-110.625914,9-Southwest,,,,,,,,,,
9497800,33.843105,-110.557609,9-Southwest,63.0,97.0,133.0,183.0,221.0,1391.0,2198.0,3090.0,4380.0,5429.0
9469500,33.169505,-110.531211,9-Southwest,85.0,156.0,246.0,394.0,529.0,2056.0,3440.0,5044.0,7466.0,9495.0
9497500,33.798106,-110.499829,9-Southwest,56.0,87.0,120.0,166.0,202.0,1556.0,2504.0,3509.0,4894.0,5972.0
9468500,33.296447,-110.451488,9-Southwest,124.0,202.0,292.0,424.0,535.0,1322.0,2170.0,3079.0,4340.0,5324.0
9328500,38.858308,-110.370147,8-Rocky Mountains,52.0,84.0,121.0,178.0,225.0,894.0,1600.0,2468.0,3847.0,5055.0
9314500,39.264444,-110.342778,11-California and interior west,,,,,,,,,,
9496500,33.985881,-110.280942,9-Southwest,52.0,81.0,111.0,152.0,184.0,2314.0,3642.0,5040.0,6951.0,8432.0
9471400,31.700278,-110.226389,9-Southwest,,,,,,,,,,
